ID,Year,Title,Primary Category,Secondary Category,Traditions,Figures Involved,Taxonomy Categories,Guide Relevance (Shigg),Guide Relevance (Cathleen),Guide Relevance (Katherine),Influenced By (count),Influenced (count),Related Events (count),Has Narrative Desc,Location,Importance,Is Pivotal
gd_founding,1888,Hermetic Order of the Golden Dawn Founded,Organization,Lodge Founding,"golden_dawn, victorian_spiritualism","MacGregor Mathers, William Wynn Westcott, William Robert Woodman",6,low,medium,high,0,3,0,No,London,1,Yes
crowley_book_of_law,1904,Aleister Crowley Receives The Book of the Law,Ritual,Channeled Text,"golden_dawn, victorian_spiritualism","Aleister Crowley, Rose Edith Kelly","6, 4",low,low,high,1,2,0,No,Cairo,1,Yes
waite_smith_tarot,1909,Rider-Waite-Smith Tarot Published,Publication,Divination Deck,"golden_dawn, victorian_spiritualism","Arthur Edward Waite, Pamela Colman Smith","6, 5",medium,medium,high,1,1,0,No,London,1,Yes
crowley_equinox_journal,1910,Crowley Starts 'The Equinox' Journal,Publication,Periodical,"thelema, golden_dawn",Aleister Crowley,"6, 12",low,medium,high,1,1,0,No,London,2,No
waite_ceremonial_magic,1911,Waite's 'Book of Ceremonial Magic' Published,Publication,Reference Work,"golden_dawn, grimoire_tradition",Arthur Edward Waite,"1, 6",low,medium,high,1,0,1,No,,2,No
crowley_oto_head,1912,Aleister Crowley Becomes Head of British OTO,Organization,Leadership Succession,"thelema, golden_dawn, grimoire_tradition","Aleister Crowley, Theodor Reuss","6, 12",low,medium,high,1,2,0,No,,2,No
spare_book_of_pleasure,1913,Austin Osman Spare Publishes The Book of Pleasure,Publication,Magical Treatise,golden_dawn,Austin Osman Spare,"7, 12",low,low,high,0,0,0,No,London,2,No
crowley_magick_book,1913,Crowley Publishes 'Magick' in The Equinox,Publication,Theory Publication,"thelema, golden_dawn",Aleister Crowley,"6, 12",low,medium,high,1,1,1,No,,1,Yes
yeats_hour_glass,1913,Yeats' 'The Hour Glass' Esoteric Play,Publication,Drama,"golden_dawn, celtic_devotional",W.B. Yeats,"5, 6",medium,high,medium,1,1,0,No,Dublin,2,No
wwi_outbreak_occult,1914,WWI Outbreak Disrupts Occult Networks,Legal,Social Upheaval,"british_folk_magic, wartime_domestic_life",,"8, 9",high,high,high,0,2,0,No,,1,Yes
wwi_trench_magic,1914,Trench Folk Magic Emerges in WWI,Ritual,Folk Practice Adaptation,"british_folk_magic, wartime_domestic_life, traveller_charms, lorica_prayers",,"8, 9",high,high,medium,0,1,1,No,,2,No
psychic_gazette_founded,1915,'The International Psychic Gazette' Founded,Publication,Periodical,victorian_spiritualism,,4,medium,high,medium,0,1,1,No,London,2,No
trench_letter_charms,1916,Trench Letter Charm Networks,Ritual,Folk Practice,"british_folk_magic, wartime_domestic_life, lorica_prayers",,8,high,high,low,1,1,0,No,,2,No
spiritualism_boom_1917,1917,Spiritualism Boom After Passchendaele,Organization,Social Movement,victorian_spiritualism,Arthur Conan Doyle,4,medium,high,medium,1,1,0,No,London,2,No
