Node ID,Node Type,Label,Year,Category/Tradition,Connected Events Count
gd_founding,event,Hermetic Order of the Golden Dawn Founded,1888,Organization,3
crowley_book_of_law,event,Aleister Crowley Receives The Book of the Law,1904,Ritual,3
waite_smith_tarot,event,Rider-Waite-Smith Tarot Published,1909,Publication,2
crowley_equinox_journal,event,Crowley Starts 'The Equinox' Journal,1910,Publication,2
waite_ceremonial_magic,event,Waite's 'Book of Ceremonial Magic' Published,1911,Publication,1
crowley_oto_head,event,Aleister Crowley Becomes Head of British OTO,1912,Organization,3
spare_book_of_pleasure,event,Austin Osman Spare Publishes The Book of Pleasure,1913,Publication,0
crowley_magick_book,event,Crowley Publishes 'Magick' in The Equinox,1913,Publication,2
yeats_hour_glass,event,Yeats' 'The Hour Glass' Esoteric Play,1913,Publication,2
wwi_outbreak_occult,event,WWI Outbreak Disrupts Occult Networks,1914,Legal,2
wwi_trench_magic,event,Trench Folk Magic Emerges in WWI,1914,Ritual,1
psychic_gazette_founded,event,'The International Psychic Gazette' Founded,1915,Publication,1
trench_letter_charms,event,Trench Letter Charm Networks,1916,Ritual,2
spiritualism_boom_1917,event,Spiritualism Boom After Passchendaele,1917,Organization,2
moina_mathers_leadership,event,Moina Mathers Takes Over Alpha et Omega,1918,Organization,2
fortune_psychic_crisis,event,Dion Fortune's Psychic Crisis & Healing,1919,Figure,3
gardner_returns_colonial,event,Gerald Gardner Returns from Colonial Service,1919,Figure,1
witch_column_1920,event,'The Witch' Column in John O'London's Weekly,1920,Publication,1
abbey_thelema,event,Crowley Founds Abbey of Thelema,1920,Site,2
murray_witch_cult,event,Margaret Murray Publishes The Witch-Cult in Western Europe,1921,Publication,1
fortune_joins_alpha_omega,event,Dion Fortune Joins Alpha et Omega,1921,Organization,3
crowley_expelled_italy,event,Crowley Expelled from Italy,1922,Legal,2
fortune_psychic_defense_articles,event,Dion Fortune's 'Psychic Self-Defense' Articles,1922,Publication,2
abbey_thelema_raided,event,Abbey of Thelema Raided by Mussolini's Police,1923,Legal,1
inner_light,event,Dion Fortune Founds Fraternity of Inner Light,1924,Organization,4
yeats_vision,event,W.B. Yeats Publishes A Vision,1925,Publication,2
crowley_magick_theory_practice,event,Crowley Publishes 'Magick in Theory and Practice',1929,Publication,3
dion_fortune_psychic_defense,event,Dion Fortune Publishes Psychic Self-Defense,1930,Publication,3
gardner_folklore_society,event,Gerald Gardner Joins The Folklore Society,1934,Figure,2
fortune_mystical_qabalah,event,Dion Fortune Publishes 'The Mystical Qabalah',1935,Publication,2
