Source Event ID,Source Title,Connection Type,Target Event ID,Target Exists
gd_founding,Hermetic Order of the Golden Dawn Founded,influenced,stella_matutina,Yes
gd_founding,Hermetic Order of the Golden Dawn Founded,influenced,a_a_founding,Yes
gd_founding,Hermetic Order of the Golden Dawn Founded,influenced,inner_light,Yes
crowley_book_of_law,Aleister Crowley Receives The Book of the Law,influenced_by,gd_founding,Yes
crowley_book_of_law,Aleister Crowley Receives The Book of the Law,influenced,abbey_thelema,Yes
crowley_book_of_law,Aleister Crowley Receives The Book of the Law,influenced,a_a_founding,Yes
waite_smith_tarot,Rider-Waite-Smith Tarot Published,influenced_by,gd_founding,Yes
waite_smith_tarot,Rider-Waite-Smith Tarot Published,influenced,crowley_book_of_thoth,Yes
crowley_equinox_journal,Crowley Starts 'The Equinox' Journal,influenced_by,crowley_book_of_law,Yes
crowley_equinox_journal,Crowley Starts 'The Equinox' Journal,influenced,crowley_magick_book,Yes
waite_ceremonial_magic,Waite's 'Book of Ceremonial Magic' Published,influenced_by,gd_founding,Yes
waite_ceremonial_magic,Waite's 'Book of Ceremonial Magic' Published,related_events,waite_smith_tarot,Yes
crowley_oto_head,Aleister Crowley Becomes Head of British OTO,influenced_by,crowley_book_of_law,Yes
crowley_oto_head,Aleister Crowley Becomes Head of British OTO,influenced,crowley_magick_book,Yes
crowley_oto_head,Aleister Crowley Becomes Head of British OTO,influenced,abbey_thelema,Yes
crowley_magick_book,Crowley Publishes 'Magick' in The Equinox,influenced_by,crowley_book_of_law,Yes
crowley_magick_book,Crowley Publishes 'Magick' in The Equinox,influenced,crowley_magick_theory_practice,Yes
crowley_magick_book,Crowley Publishes 'Magick' in The Equinox,related_events,crowley_oto_head,Yes
yeats_hour_glass,Yeats' 'The Hour Glass' Esoteric Play,influenced_by,gd_founding,Yes
yeats_hour_glass,Yeats' 'The Hour Glass' Esoteric Play,influenced,yeats_vision,Yes
wwi_outbreak_occult,WWI Outbreak Disrupts Occult Networks,influenced,wwi_trench_magic,Yes
wwi_outbreak_occult,WWI Outbreak Disrupts Occult Networks,influenced,spiritualism_boom_1917,Yes
wwi_trench_magic,Trench Folk Magic Emerges in WWI,influenced,blitz_protective_magic,Yes
wwi_trench_magic,Trench Folk Magic Emerges in WWI,related_events,wwi_outbreak_occult,Yes
psychic_gazette_founded,'The International Psychic Gazette' Founded,influenced,spiritualism_boom_1917,Yes
psychic_gazette_founded,'The International Psychic Gazette' Founded,related_events,wwi_outbreak_occult,Yes
trench_letter_charms,Trench Letter Charm Networks,influenced_by,wwi_trench_magic,Yes
trench_letter_charms,Trench Letter Charm Networks,influenced,blitz_protective_magic,Yes
spiritualism_boom_1917,Spiritualism Boom After Passchendaele,influenced_by,wwi_outbreak_occult,Yes
spiritualism_boom_1917,Spiritualism Boom After Passchendaele,influenced,fortune_psychic_crisis,Yes
moina_mathers_leadership,Moina Mathers Takes Over Alpha et Omega,influenced_by,gd_founding,Yes
moina_mathers_leadership,Moina Mathers Takes Over Alpha et Omega,influenced,fortune_joins_alpha_omega,Yes
fortune_psychic_crisis,Dion Fortune's Psychic Crisis & Healing,influenced_by,spiritualism_boom_1917,Yes
fortune_psychic_crisis,Dion Fortune's Psychic Crisis & Healing,influenced,fortune_psychic_defense_articles,Yes
fortune_psychic_crisis,Dion Fortune's Psychic Crisis & Healing,influenced,inner_light,Yes
fortune_psychic_crisis,Dion Fortune's Psychic Crisis & Healing,related_events,fortune_joins_alpha_omega,Yes
gardner_returns_colonial,Gerald Gardner Returns from Colonial Service,influenced,gardner_folklore_society,Yes
witch_column_1920,'The Witch' Column in John O'London's Weekly,influenced,murray_witch_cult,Yes
abbey_thelema,Crowley Founds Abbey of Thelema,influenced_by,crowley_book_of_law,Yes
abbey_thelema,Crowley Founds Abbey of Thelema,influenced,crowley_expelled_italy,Yes
murray_witch_cult,Margaret Murray Publishes The Witch-Cult in Wester,influenced,gardner_witchcraft_today,Yes
fortune_joins_alpha_omega,Dion Fortune Joins Alpha et Omega,influenced_by,fortune_psychic_crisis,Yes
fortune_joins_alpha_omega,Dion Fortune Joins Alpha et Omega,influenced_by,moina_mathers_leadership,Yes
fortune_joins_alpha_omega,Dion Fortune Joins Alpha et Omega,influenced,inner_light,Yes
crowley_expelled_italy,Crowley Expelled from Italy,influenced_by,abbey_thelema,Yes
crowley_expelled_italy,Crowley Expelled from Italy,influenced,abbey_thelema_raided,Yes
