Persona ID,Practice ID,Practice Name,Description,Steps,Materials,Source ID
shigg,tea_reading,Tea Leaf Reading,Interpreting patterns in tea leaves after drinking,brew loose leaf tea → drink while focusing on question → swirl dregs three times → interpret patterns,"loose leaf tea, white cup",grieve_herbal
shigg,bird_watching,Bird Oracle Watching,Reading omens from bird behavior and flight patterns,find quiet spot where birds gather → still your mind → note first bird seen → observe direction and behavior,"patience, outdoor space",roux_ornithography
shigg,steam_release,Steam Release,Using rising steam to carry away worries,boil water in kettle → as steam rises speak what binds you → let steam carry it away → pour water with intention,"kettle, water",domestic_traditions
shigg,windowsill_ward,Windowsill Protection,Creating a protective boundary at window thresholds,clean windowsill with salt water → place protective object → speak ward three times → refresh weekly,"salt, water, small protective object",domestic_traditions
shigg,herb_bundle,Herb Bundling,Creating small sachets of herbs with spoken intentions,gather herbs on cloth → speak intention into each → bundle with three knots → carry or place,"dried herbs, small cloth, string",grieve_herbal
shigg,verse_meditation,Rubáiyát Verse Meditation,Using poetry verses as meditative anchors,select verse that speaks → read aloud three times → sit with its meaning → journal response,"book of verses, journal",rubaiyat
cathleen,voice_warding,Voice Warding,Using sung or hummed notes to create protective barriers,find your grounding note → let it resonate in chest → expand note outward → shape into protective sphere,"your voice, quiet space",irish_folk
cathleen,candle_speech,Candle Speech,Speaking intentions into flame to send them forth,light candle → speak intention clearly → watch flame respond → seal with breath,"candle, matches",home_spiritualism
cathleen,talisman_charging,Talisman Charging,Infusing small objects with protective intention,hold object → breathe intention three times → pass through candle smoke → carry close,"small meaningful object, candle",dion_fortune
cathleen,circle_walking,Circle Walking,Creating sacred space through intentional movement,mark center → walk boundary clockwise → pause at each quarter → seal with voice,"salt or cord for marking, voice",home_spiritualism
cathleen,keening,Keening Release,Using wordless vocal expression to move grief,create safe space → let sound emerge without words → allow voice to carry feeling → rest in silence after,"private space, time",irish_folk
cathleen,morrigan_invocation,Morrigan Calling,Invoking the Morrigan for transformation and courage,face west at dusk → speak her names → state what must change → accept what comes,"crow feather optional, courage",morrigan_book
katherine,thread_binding,Thread Binding,Using thread work to bind or release intentions,select thread color with intention → as you work speak purpose → tie or cut with clear intent → store or dispose appropriately,"thread in appropriate color, scissors",spitalfields_craft
katherine,mirror_scrying,Mirror Scrying,Using mirrors for self-reflection and revelation,cleanse mirror → sit in candlelight → meet your own gaze → note what emerges,"mirror, candle, salt water for cleansing",spr_methods
katherine,shadow_naming,Shadow Naming,Identifying and naming hidden aspects for integration,create safe space → ask what hides → name without judgment → write it down,"journal, pen, candlelight",jung_red_book
katherine,salt_sealing,Salt Line Sealing,Creating protective boundaries with salt,define space to protect → pour salt line at threshold → speak sealing words → do not break line,"salt, steady hand",dion_fortune
katherine,wax_sealing,Wax Seal Working,Using wax seals to fix intentions,write intention on paper → fold paper precisely → drip wax to seal → press sigil or thumbprint,"paper, sealing wax, candle, seal or ring",victorian_seance
katherine,record_keeping,Systematic Recording,Documenting magical work for pattern recognition,note date and time → record intention and method → observe results → analyze over time,"dedicated notebook, pen",spr_methods
