Persona ID,Micro Lore Detail
shigg,the bench lamp with a scarf over it to soften the light
shigg,a tin of pins that belonged to an aunt
shigg,ration-book paper kept in a drawer for important notes
shigg,the kettle that sings a different note when it's really ready
shigg,bread put out for the birds every morning without fail
shigg,the smell of tea steeping mixed with rain on stone
shigg,a crow that visits the same window every Tuesday
shigg,handwritten recipes tucked into old cookbooks
shigg,the sound of the wireless playing in another room
shigg,"a particular teacup, chipped but never thrown away"
cathleen,the blackout curtains that never quite came down after the war
cathleen,a candle stub saved from her grandmother's wake
cathleen,rosary beads worn smooth by three generations of thumbs
cathleen,the song her mother hummed while hanging laundry
cathleen,a brass bell from a ship that didn't come home
cathleen,"letters tied with ribbon, never sent"
cathleen,the way a flame bends when someone's listening
cathleen,a threshold scrubbed with salt water every new moon
cathleen,the smell of wool and candle wax
cathleen,a small stone from the old country kept in a pocket
katherine,the measuring tape coiled exactly the same way every time
katherine,a journal with margins filled with tiny annotations
katherine,scissors inherited from a Spitalfields great-grandmother
katherine,the smell of old ink and lamp oil
katherine,a compass that always points slightly wrong
katherine,threads sorted by color and weight in labeled drawers
katherine,a mirror turned to the wall when not in use
katherine,wax seals in three colors for different purposes
katherine,"a notebook for dreams, never shared"
katherine,the sound of shears cutting through silk
