Source,Target,Edge Type,Weight,Label
gd_founding,stella_matutina,direct_influence,4,influenced
gd_founding,a_a_founding,direct_influence,4,influenced
gd_founding,inner_light,direct_influence,4,influenced
crowley_book_of_law,abbey_thelema,direct_influence,4,influenced
crowley_book_of_law,a_a_founding,direct_influence,4,influenced
gd_founding,crowley_book_of_law,direct_influence,4,influenced
waite_smith_tarot,crowley_book_of_thoth,direct_influence,4,influenced
gd_founding,waite_smith_tarot,direct_influence,4,influenced
crowley_equinox_journal,crowley_magick_book,direct_influence,4,influenced
crowley_book_of_law,crowley_equinox_journal,direct_influence,4,influenced
gd_founding,waite_ceremonial_magic,direct_influence,4,influenced
crowley_oto_head,crowley_magick_book,direct_influence,4,influenced
crowley_oto_head,abbey_thelema,direct_influence,4,influenced
crowley_book_of_law,crowley_oto_head,direct_influence,4,influenced
crowley_magick_book,crowley_magick_theory_practice,direct_influence,4,influenced
crowley_book_of_law,crowley_magick_book,direct_influence,4,influenced
yeats_hour_glass,yeats_vision,direct_influence,4,influenced
gd_founding,yeats_hour_glass,direct_influence,4,influenced
wwi_outbreak_occult,wwi_trench_magic,direct_influence,4,influenced
wwi_outbreak_occult,spiritualism_boom_1917,direct_influence,4,influenced
wwi_trench_magic,blitz_protective_magic,direct_influence,4,influenced
psychic_gazette_founded,spiritualism_boom_1917,direct_influence,4,influenced
trench_letter_charms,blitz_protective_magic,direct_influence,4,influenced
wwi_trench_magic,trench_letter_charms,direct_influence,4,influenced
spiritualism_boom_1917,fortune_psychic_crisis,direct_influence,4,influenced
wwi_outbreak_occult,spiritualism_boom_1917,direct_influence,4,influenced
moina_mathers_leadership,fortune_joins_alpha_omega,direct_influence,4,influenced
gd_founding,moina_mathers_leadership,direct_influence,4,influenced
fortune_psychic_crisis,fortune_psychic_defense_articles,direct_influence,4,influenced
fortune_psychic_crisis,inner_light,direct_influence,4,influenced
spiritualism_boom_1917,fortune_psychic_crisis,direct_influence,4,influenced
gardner_returns_colonial,gardner_folklore_society,direct_influence,4,influenced
witch_column_1920,murray_witch_cult,direct_influence,4,influenced
abbey_thelema,crowley_expelled_italy,direct_influence,4,influenced
