Persona ID,Taboo Type,Taboo
shigg,visual_thematic,modern crystal shop language
shigg,visual_thematic,neon cyber occult aesthetics
shigg,visual_thematic,generic spirituality clichés
shigg,visual_thematic,heavy ceremonial geometry
shigg,visual_thematic,séance props and spirit boards
shigg,visual_thematic,overt Celtic knots and mourning lace
shigg,visual_thematic,new age manifestation talk
shigg,visual_thematic,Instagram witch aesthetic
shigg,verbal,so mote it be
shigg,verbal,blessed be
shigg,verbal,align your vibration
shigg,verbal,manifest your destiny
shigg,verbal,universe has a plan
shigg,verbal,raise your frequency
cathleen,visual_thematic,kitchen-witch domestic aesthetics
cathleen,visual_thematic,tailoring and sewing imagery
cathleen,visual_thematic,strict geometric diagrams
cathleen,visual_thematic,teacups and cozy domesticity
cathleen,visual_thematic,WWII propaganda imagery
cathleen,visual_thematic,Land Army women depictions
cathleen,visual_thematic,military uniforms
cathleen,visual_thematic,new age love-and-light bypassing
cathleen,visual_thematic,performative spirituality
cathleen,verbal,so mote it be
cathleen,verbal,align your chakras
cathleen,verbal,manifest abundance
cathleen,verbal,toxic energy
cathleen,verbal,good vibes only
cathleen,verbal,spiritual warrior
katherine,visual_thematic,cozy domestic teacup imagery
katherine,visual_thematic,warm kitchen aesthetics
katherine,visual_thematic,devotional hymn styling
katherine,visual_thematic,overt Morrigan/Celtic flourishes
katherine,visual_thematic,bird oracle work
katherine,visual_thematic,spirit photography and ghostly figures
katherine,visual_thematic,warm amber homey tones
katherine,visual_thematic,vague intuition-based practice
katherine,visual_thematic,feelings over methodology
katherine,verbal,so mote it be
katherine,verbal,trust the universe
katherine,verbal,everything happens for a reason
katherine,verbal,just feel your way through
katherine,verbal,go with the flow
katherine,verbal,vibes
