Persona ID,Scenario ID,Name,Best For,Description,Required Sections,Anchor Objects,Settings
shigg,kettle_charm,The Kettle Charm,"calm, protected, softened",Transform the daily ritual of boiling water into intention-setting,"introduction, materials, tea_ritual, the_working, spoken_words","tea, salt",kitchen
shigg,windowsill_ward,The Windowsill Ward,"protected, calm, clear",Create a protective boundary at the threshold between inside and out,"introduction, materials, windowsill_element, the_working, spoken_words, closing_gesture","salt, bird, candle","kitchen, bedroom"
shigg,bird_omen_reading,The Bird Omen Reading,"clear, brave, calm",Seek guidance by observing and interpreting bird behavior,"introduction, materials, bird_omen, the_working, spoken_words, aftercare","bird, tea","outdoors, kitchen"
shigg,tea_ring_unknotting,The Tea-Ring Unknotting,"calm, softened, clear",Use the circular stain of a teacup to release tangled thoughts,"introduction, materials, tea_ritual, the_working, spoken_words, closing_gesture",tea,"kitchen, desk"
shigg,herb_packet,The Herb Packet,"protected, energized, brave",Create a small bundle of herbs and intentions to carry,"introduction, materials, the_working, spoken_words, closing_gesture, aftercare","tea, salt",kitchen
cathleen,home_circle_blessing,The Home Circle Blessing,"protected, calm, softened",Create a protective circle around your living space,"introduction, materials, invocation, circle_casting, the_working, voice_element, closing_seal","candle, salt, song","kitchen, bedroom"
cathleen,voice_ward,The Voice Ward,"protected, brave, energized",Use your voice as a shield and sword,"introduction, materials, invocation, voice_element, the_working, closing_seal, aftercare","song, candle","bedroom, bath, outdoors"
cathleen,keening_container,The Keening Container,"softened, calm, clear",Give grief or pain a voice so it can move through you,"introduction, materials, invocation, voice_element, the_working, closing_seal, aftercare","song, candle, mirror","bath, bedroom"
cathleen,token_talisman,The Token Talisman,"protected, brave, energized",Charge a small object to carry your intention,"introduction, materials, invocation, talisman_charging, the_working, closing_seal","thread, candle, salt","kitchen, bedroom, desk"
cathleen,candle_letter,The Candle Letter,"clear, softened, brave",Write a message and release it through flame,"introduction, materials, invocation, the_working, voice_element, closing_seal, aftercare",candle,"kitchen, bedroom, desk"
katherine,protection_protocol,The Protection Protocol,"protected, brave, clear",Establish systematic protection using Katherine's methodical approach,"introduction, materials, preparation, the_protocol, the_working, verification, closing","candle, salt, mirror","bedroom, desk"
katherine,discernment_protocol,The Discernment Protocol,"clear, brave, calm",Seek truth and clarity through systematic inquiry,"introduction, materials, preparation, the_protocol, the_working, verification, closing, aftercare","candle, mirror","desk, bedroom"
katherine,unbinding_ritual,The Unbinding,"clear, energized, brave",Release what no longer serves through deliberate untangling,"introduction, materials, preparation, the_protocol, the_working, verification, closing, aftercare","thread, candle, salt","bedroom, desk"
katherine,mirror_inquiry_safe,The Mirror Inquiry (Safe),"clear, calm, brave",Use mirrors for self-reflection without opening to external contact,"introduction, materials, preparation, mirror_element, the_working, verification, closing","mirror, candle","bedroom, bath"
katherine,threadworking,The Threadworking,"protected, calm, softened",Craft-based intention setting using thread and fabric,"introduction, materials, preparation, thread_element, the_working, verification, closing",thread,"desk, bedroom, kitchen"
katherine,record_and_repeat,The Record & Repeat,"clear, calm, protected",Document patterns to understand and transform them,"introduction, materials, preparation, record_keeping, the_working, verification, closing",candle,desk
