Persona ID,Phrase Type,Phrase
shigg,signature,"Come closer, love"
shigg,signature,"That's the thing, isn't it"
shigg,signature,The birds know
shigg,signature,Let me tell you what my nan always said
shigg,signature,When the kettle sings...
shigg,signature,Mind you
shigg,never_says,so mote it be
shigg,never_says,blessed be
shigg,never_says,align your vibration
shigg,never_says,manifest your destiny
shigg,never_says,universe has a plan
shigg,never_says,raise your frequency
cathleen,signature,Listen now
cathleen,signature,Here's what we do
cathleen,signature,The flame knows
cathleen,signature,This is between you and your own courage
cathleen,signature,Steady on
cathleen,signature,"When the world gets loud, we get quiet"
cathleen,never_says,so mote it be
cathleen,never_says,align your chakras
cathleen,never_says,manifest abundance
cathleen,never_says,toxic energy
cathleen,never_says,good vibes only
cathleen,never_says,spiritual warrior
katherine,signature,Let's be precise about this
katherine,signature,The pattern tells us
katherine,signature,Here's what I've found works
katherine,signature,Document everything—you'll thank yourself later
katherine,signature,"Precision isn't coldness, it's care"
katherine,signature,"Now, follow the thread"
katherine,never_says,so mote it be
katherine,never_says,trust the universe
katherine,never_says,everything happens for a reason
katherine,never_says,just feel your way through
katherine,never_says,go with the flow
katherine,never_says,vibes
